Agent	Network	Start_Date	End_Date	Percent_Complete	Name	Lat(dec_deg)	Long(dec_deg)
37382	I48905	01-Sep-2009	30-Jun-2015	100	Eglinton, Knobs Flat Cws	-44.97781	168.018
40845	I58632	01-Feb-2015	30-Jun-2015	100	Five Rivers Cws	-45.6259	168.36702
24926	F30313	01-Jun-2003	30-Jun-2015	100	Franz Josef Ews	-43.36548	170.13428
2810	D87695	01-Jan-1990	30-Jun-2015	100	Gisborne Aws	-38.66	177.984
24976	D87697	01-Jul-2003	30-Jun-2015	100	Gisborne Ews	-38.62747	177.9218
23934	F21425	01-Aug-2002	30-Jun-2015	100	Greymouth Aero Ews	-42.46022	171.19157
2112	C75834	01-Jun-1990	30-Jun-2015	100	Hamilton Aws	-37.865	175.336
26117	C75734	01-Dec-2005	30-Jun-2015	100	Hamilton, Ruakura 2 Ews	-37.77567	175.30506
11234	G22582	01-Jun-1995	30-Jun-2015	100	Hanmer Forest Ews	-42.53433	172.85098
25222	E94622	01-Feb-2004	30-Jun-2015	100	Hawera Aws	-39.6117	174.2917
3909	F20793	01-Nov-1963	30-Jun-2015	100	Hokitika Aero	-42.716	170.988
26645	B75735	01-Jun-2014	30-Jun-2015	100	Holland Road, Hamilton Cws	-37.748	175.367
5814	I68433	01-Sep-1939	30-Jun-2015	100	Invercargill Aero	-46.41741	168.33052
11104	I68435	01-Mar-1995	30-Jun-2015	100	Invercargill Aero Aws	-46.413	168.317
18183	A53026	01-Jul-2000	30-Jun-2015	100	Kaitaia Aero Ews	-35.0677	173.2874
17067	A53127	01-Jan-1999	30-Jun-2015	100	Kaitaia Ews	-35.135	173.262
1041	A53125	01-May-1985	30-Jun-2015	100	Kaitaia Observatory	-35.13352	173.26294
1056	A53191	01-Oct-1981	30-Jun-2015	100	Kerikeri Ews	-35.183	173.926
37656	C75955	01-Nov-2009	30-Jun-2015	100	Lake Karapiro Cws	-37.9245	175.5396
24945	H40042	01-Jul-2003	30-Jun-2015	100	Lake Tekapo Ews	-44.00173	170.44319
1340	A64282	01-Aug-1966	30-Jun-2015	100	Leigh 2 Ews	-36.273	174.796
3275	E05620	01-Nov-1990	30-Jun-2015	100	Levin Aws	-40.622	175.257
17603	H32645	01-Jul-1999	30-Jun-2015	100	Lincoln, Broadfield Ews	-43.62622	172.4704
39845	H31944	01-Oct-2012	30-Jun-2015	100	Lismore, Racemans House Cws	-43.9207	171.4856
12482	I5752A	01-Dec-2002	30-Jun-2015	100	Manapouri, West Arm Jetty Ews	-45.525	167.275
21938	D15234	01-May-2001	30-Jun-2015	100	Martinborough Ews	-41.25231	175.38985
36735	D0596H	01-Mar-2009	30-Jun-2015	100	Masterton Aero Aws	-40.975	175.638
37920	H31656	01-Feb-2010	30-Jun-2015	100	Methven, Three Springs Cws	-43.67767	171.5884
18437	I50513	01-Sep-2000	30-Jun-2015	100	Middlemarch Ews	-45.51814	170.13561
4107	F47691	01-Dec-1929	30-Jun-2015	100	Milford Sound	-44.67373	167.9221
12429	G12195	01-Apr-1995	30-Jun-2015	100	Motueka, Riwaka Ews	-41.09798	172.97165
18125	H30706	01-Apr-2000	30-Jun-2015	100	Mt Cook Ews	-43.736	170.096
40257	I48842	01-Jun-2013	30-Jun-2015	100	Mt Larkins Ews	-44.88526	168.48044
18464	C95153	01-Oct-2000	30-Jun-2015	100	Mt Ruapehu, Chateau Ews	-39.1977	175.54491
2980	D96484	01-Oct-1990	30-Jun-2015	100	Napier Aero Aws	-39.461	176.859
4241	G13222	01-Jan-1941	30-Jun-2015	100	Nelson Aero	-41.299	173.226
25937	I50194	01-Oct-2005	30-Jun-2015	100	Oamaru Aws	-45.1	170.95
3243	E05368	01-Sep-1991	30-Jun-2015	100	Palmerston North Aws	-40.325	175.611
21963	E0536D	01-Apr-2001	30-Jun-2015	100	Palmerston North Ews	-40.38195	175.60915
3145	E04991	01-Jan-1945	30-Jun-2015	100	Paraparaumu Aero	-40.907	174.984
8567	E04994	01-Apr-1992	30-Jun-2015	100	Paraparaumu Aero Aws	-40.907	174.984
12442	E04995	01-Feb-1996	30-Jun-2015	100	Paraparaumu Ews	-40.90392	174.98437
37016	C85552	01-May-2009	30-Jun-2015	100	Pureora Forest Cws	-38.517	175.58
18593	I50115	01-Dec-2000	30-Jun-2015	100	Ranfurly Ews	-45.12427	170.10045
17244	H32364	01-Mar-1999	30-Jun-2015	100	Rangiora Ews	-43.32858	172.61114
40751	G13314	01-May-2015	30-Jun-2015	100	Richmond Ews	-41.32773	173.18615
9533	F56280	01-Jan-1994	30-Jun-2015	100	Secretary Island Aws	-45.221	166.886
17610	H31463	01-Jul-1999	30-Jun-2015	100	Snowdon Raws	-43.47	171.672
23872	E94334	01-Jul-2002	30-Jun-2015	100	Stratford Ews	-39.33726	174.30487
37047	I57262	01-Jun-2009	30-Jun-2015	100	Takahe Valley Cws	-45.29644	167.68254
23849	F02885	01-May-2002	30-Jun-2015	100	Takaka Ews	-40.86364	172.80568
25820	D06024	01-Jul-2005	30-Jun-2015	100	Takapau Plains Aws	-40.043	176.268
35135	C85835	01-Jan-2008	30-Jun-2015	100	Taumarunui Aws	-38.889	175.332
1858	B86704	01-Jun-1990	30-Jun-2015	100	Taupo Aws	-38.744	176.081
1615	B76624	01-Jun-1990	30-Jun-2015	100	Tauranga Aero Aws	-37.673	176.196
12428	B76838	01-Jun-1996	30-Jun-2015	100	Te Puke Ews	-37.822	176.324
5086	H41325	01-Jul-1990	30-Jun-2015	100	Timaru Aero Aws	-44.305	171.225
35703	H41425	01-Jul-2008	30-Jun-2015	100	Timaru Ews	-44.41052	171.25426
5823	I68533	01-May-1970	30-Jun-2015	100	Tiwai Point Ews	-46.587	168.376
25643	C85977	01-Apr-2003	30-Jun-2015	100	Turangi 2 Ews	-38.97532	175.7908
39944	D96286	01-Nov-2012	30-Jun-2015	100	Tutira Cws	-39.22428	176.83882
40750	E1510M	01-Feb-2015	30-Jun-2015	100	Upper Hutt, Trentham Ews	-41.14027	175.04283
38225	H30291	01-Jul-2010	30-Jun-2015	100	Upper Rakaia Ews	-43.29206	170.99523
12636	D06433	01-Oct-1996	30-Jun-2015	100	Waione Raws	-40.453	176.308
26607	H32063	01-Oct-2006	30-Jun-2015	100	Waipara West Ews	-43.07026	172.65344
31620	D96962	01-Jul-2007	30-Jun-2015	100	Waipawa Ews	-39.9515	176.61706
40639	I58872	01-Jul-2014	30-Jun-2015	100	Waipounamu Cws	-45.82525	168.71649
7426	I49723	01-May-1992	30-Jun-2015	100	Wanaka Aero Aws	-44.724	169.244
3715	E95902	01-Jan-1890	30-Jun-2015	100	Wanganui,Spriggens Park Ews	-39.93882	175.04496
17838	A64464	01-Dec-1999	30-Jun-2015	100	Warkworth Ews	-36.43435	174.66766
3445	E14387	01-Jan-1960	30-Jun-2015	100	Wellington Aero	-41.322	174.804
25354	E1427P	01-May-2004	30-Jun-2015	100	Wellington, Kelburn Aws	-41.285	174.768
7342	F11754	01-Nov-1991	30-Jun-2015	100	Westport Aero Aws	-41.741	171.579
15876	D96696	01-Oct-1997	30-Jun-2015	100	Whakatu Ews	-39.61	176.912
1287	A54737	01-Aug-1990	30-Jun-2015	100	Whangarei Aero Aws	-35.769	174.364
4764	H31883	01-Jan-1947	30-Jun-2015	100	Winchmore Ews	-43.79346	171.79512
35098	I48391	01-Feb-2008	30-Jun-2015	90	Albert Burn	-44.38112	168.92633
31851	D05685	01-May-2007	30-Jun-2015	90	Alfredton Raws	-40.68048	175.8575
26170	H31983	01-Mar-2006	30-Jun-2015	90	Ashburton Aero Aws	-43.905	171.805
40280	D96932	01-Aug-2013	30-Jun-2015	90	Ashcott Road Cws	-39.95757	176.37974
37852	A64776	01-Jan-2010	30-Jun-2015	90	Auckland, North Shore Albany Ews	-36.74827	174.71377
39523	K98617	01-Apr-2012	30-Jun-2015	90	Chatham Island Aero Aws	-43.81687	-176.47499
7340	K92900	01-Dec-1991	30-Jun-2015	90	Enderby Is Aws	-50.483	166.3
38619	C75241	01-Dec-2010	30-Jun-2015	90	Firth Of Thames Ews	-37.21522	175.4503
5778	I68182	01-Jan-1987	30-Jun-2015	90	Gore Aws	-46.115	168.887
36209	H40661	01-Nov-2008	30-Jun-2015	90	Hakataramea Valley Cws	-44.63466	170.64731
1134	A53487	01-Dec-1985	30-Jun-2015	90	Kaikohe Aws	-35.424	173.822
37258	A53295	01-Sep-2008	30-Jun-2015	90	Kerikeri Aerodrome Aws	-35.262	173.911
5535	I59065	01-Sep-1985	30-Jun-2015	90	Lauder Ews	-45.0401	169.68419
39066	H32735	01-Apr-2011	30-Jun-2015	90	Leeston Raws	-43.76153	172.30495
36857	F22061	01-Apr-2009	30-Jun-2015	90	Mahanga Ews	-42.01777	172.64677
3142	D97192	01-Dec-1990	30-Jun-2015	90	Mahia Aws	-39.118	177.96
5430	I57563	01-Feb-1991	30-Jun-2015	90	Manapouri Aero Aws	-45.535	167.642
36645	H31665	01-Jan-2009	30-Jun-2015	90	Methven Cws	-43.63978	171.65205
18309	F47693	01-Aug-2000	30-Jun-2015	90	Milford Sound Aws	-44.677	167.923
1905	B87256	01-Nov-1990	30-Jun-2015	90	Motu Ews	-38.28566	177.52941
38103	F21852	01-May-2010	30-Jun-2015	90	Mt Philistine Ews	-42.88314	171.53229
31621	E95449	01-Jul-2007	30-Jun-2015	90	Ohakune Ews	-39.41935	175.41258
35704	H41132	01-Aug-2008	30-Jun-2015	90	Orari Estate Cws	-44.12476	171.31075
38224	D05591	01-Jul-2010	30-Jun-2015	90	Pahiatua Ews	-40.50652	175.91586
2006	C74283	01-Mar-1986	30-Jun-2015	90	Pukekohe Ews	-37.20637	174.86384
4141	F66162	01-Jan-1991	30-Jun-2015	90	Puysegur Point Aws	-46.158	166.611
6170	J99701	01-Dec-1991	30-Jun-2015	90	Raoul Island Aws	-29.233	-177.933
3925	F21182	01-Aug-1960	30-Jun-2015	90	Reefton Ews	-42.117	171.86
38645	I58973	01-Nov-2010	30-Jun-2015	90	Riversdale Aquifer @ York Road	-45.90358	168.73871
26719	B86682	01-Sep-2006	30-Jun-2015	90	Tarapounamu Ews	-38.61841	176.87388
23899	C85316	01-Jul-2002	30-Jun-2015	90	Te Kuiti Ews	-38.33356	175.1534
23908	B75752	01-Jul-2002	30-Jun-2015	90	Toenepi Ews	-37.71958	175.58528
37131	A53762	01-Jul-2009	30-Jun-2015	90	Trounson Cws	-35.72035	173.65153
3126	D97045	01-Aug-1991	30-Jun-2015	90	Wairoa, North Clyde Ews	-39.017	177.413
39864	H32343	01-Feb-2012	30-Jun-2015	90	West Eyreton, Larundel Farm	-43.3573	172.43223
25162	C75701	01-Dec-2003	30-Jun-2015	90	Whatawhata 2 Ews	-37.78832	175.06906
1520	B65862	01-Sep-1990	30-Jun-2015	90	Whitianga Aero Aws	-36.834	175.677
18594	I50087	01-Dec-2000	30-Jun-2015	90	Windsor Ews	-45.00829	170.82281
18234	D14482	01-Dec-2000	30-Jun-2015	80	Baring Head	-41.407	174.867
2592	D06922	01-Jan-1986	30-Jun-2015	80	Castlepoint Aws	-40.905	176.212
31832	H23825	01-Aug-2007	30-Jun-2015	80	Cheviot Ews	-42.8289	173.22386
38866	H32805	01-Sep-2010	30-Jun-2015	80	Dorie Cws @ Leferinks	-43.83207	172.09431
12444	I68437	01-Apr-1996	30-Jun-2015	80	Invercargill Aero 2 Ews	-46.41727	168.33045
4506	G23464	01-Sep-1982	30-Jun-2015	80	Kaikoura Aws	-42.421	173.691
37891	D05975	01-Feb-2010	30-Jun-2015	80	Masterton, Te Ore Ore Srig	-40.957	175.707
17030	B75875	01-Jan-1999	30-Jun-2015	80	Matamata, Hinuera Ews	-37.87683	175.73496
38794	E1428E	01-Nov-2010	30-Jun-2015	80	Maungaraki 3	-41.21207	174.87641
9654	A55912	01-Jan-1994	30-Jun-2015	80	Mokohinau Aws	-35.905	175.115
37239	B87314	01-Aug-2009	30-Jun-2015	80	Otamatuna, Te Mapou Hut Cws	-38.33334	177.16288
5451	I58075	01-Nov-1982	30-Jun-2015	80	Queenstown Aero Aws	-45.024	168.737
1770	B86133	01-May-1982	30-Jun-2015	80	Rotorua Aero Aws	-38.107	176.316
26169	G04602	01-Feb-2009	30-Jun-2015	80	Stephens Island Aws	-40.667	174
36157	H23605	01-Oct-2008	30-Jun-2015	80	Waiau School Cws	-42.653	173.043
36914	H41702	01-May-2009	30-Jun-2015	80	Waimate Cws	-44.74127	171.0631
39148	E95468	01-Jul-2011	30-Jun-2015	80	Waiouru Airstrip Aws	-39.44625	175.65787
36106	G13543	01-Nov-2008	30-Jun-2015	80	Wairau Valley, Mill Road Cws	-41.572	173.497
3719	E95906	01-Aug-1987	30-Jun-2015	80	Wanganui Aws	-39.962	175.024
1400	A64683	01-Mar-1987	30-Jun-2015	80	Whangaparaoa Aws	-36.606	174.835
38830	F47873	01-May-2011	30-Jun-2015	70	Castle Mount Ews	-44.83407	167.77752
3798	F03502	01-May-1982	30-Jun-2015	70	Farewell Spit Aws	-40.547	173
3910	F20794	01-May-1982	30-Jun-2015	70	Hokitika Aws	-42.716	170.983
36733	F30192	01-Jun-2009	30-Jun-2015	70	Ivory Glacier Cws	-43.13409	170.91264
37850	C95012	01-Oct-2010	30-Jun-2015	70	Lower Retaruke Cws	-39.0766	175.19658
5496	I58744	01-May-1982	30-Jun-2015	70	Lumsden Aws	-45.748	168.449
37002	H30592	01-Aug-2009	30-Jun-2015	70	Mt Potts Ews	-43.50495	170.92635
4271	G13322	01-Sep-1982	30-Jun-2015	70	Nelson Aws	-41.302	173.219
2283	C94012	01-May-1982	30-Jun-2015	70	New Plymouth Aws	-39.008	174.178
5893	I69482	01-Aug-1983	30-Jun-2015	70	Nugget Point Aws	-46.449	169.81
5142	I41902	01-May-1982	30-Jun-2015	70	Oamaru Airport Aws	-44.973	171.081
37381	I67101	01-Sep-2009	30-Jun-2015	70	Waitutu Cws	-46.1918	167.06611
1002	A42462	01-Apr-1984	30-Jun-2015	60	Cape Reinga Aws	-34.432	172.682
4960	H33712	01-Apr-1984	30-Jun-2015	60	Le Bons Bay Aws	-43.746	173.119
2136	C84174	01-Oct-1982	30-Jun-2015	60	Port Taharoa Aws	-38.171	174.707
38746	C93293	01-Sep-2010	30-Jun-2015	60	Pukeiti Srig	-39.20232	173.97952
1196	A54101	01-Dec-1983	30-Jun-2015	60	Purerua Aws	-35.129	174.015
31828	B77511	01-Apr-2011	30-Jun-2015	60	White Island Aws	-37.516	177.177
37651	H22785	01-Nov-2009	30-Jun-2015	50	Culverden Aws	-42.77	172.889
38672	E95869	01-Jun-2010	30-Jun-2015	50	Flat Hills Wxt Aws	-39.893	175.658
37652	B86476	01-Dec-2009	30-Jun-2015	50	Galatea Aws	-38.408	176.742
3017	D96680	01-Oct-1981	30-Jun-2015	50	Hastings Aws	-39.648	176.841
36985	C94205	01-May-2009	30-Jun-2015	50	North Egmont Srig	-39.273	174.096
37869	B86608	01-Jan-2010	30-Jun-2015	50	Taupo Wxt Aws	-38.684	176.072
37836	D88332	01-Dec-2009	30-Jun-2015	50	Tolaga Bay Wxt Aws	-38.382	178.308
37255	H40075	01-Aug-2009	30-Jun-2015	40	Fairlie Aws	-44.038	170.77
4903	H32671	01-Mar-1961	30-Jun-2015	40	Lyttelton Harbour	-43.608	172.724
5955	J57700	01-Jan-1951	30-Jun-2015	40	New Cal, Koumac	-20.567	164.283
5965	J59200	01-Jan-1941	30-Jun-2015	40	New Cal, Nouma	-22.267	166.45
38673	I59534	01-Jun-2010	30-Jun-2015	40	Roxburgh Wxt Aws	-45.517	169.313
38674	I57992	01-Dec-2010	30-Jun-2015	20	Birchwood Wxt Aws	-45.944	167.901
39964	H32162	01-Aug-2012	31-May-2015	100	Amberley, Reserve Road	-43.13781	172.68971
1786	B86271	01-Jan-1981	31-May-2015	100	Aniwhenua	-38.29525	176.7924
25777	F12215	01-May-2005	31-May-2015	100	Arapito Ews	-41.27058	172.15568
25376	I48983	01-Apr-2004	31-May-2015	100	Arrowtown No2	-44.945	168.822
39315	H31824	01-Feb-2011	31-May-2015	100	Arundel Simla	-43.937	171.303
4778	H31971	01-May-1909	31-May-2015	100	Ashburton Council	-43.89658	171.7472
1965	C74091	01-Jun-1944	31-May-2015	100	Auckland, Ardmore	-37.03402	174.96394
1423	A64863	01-Nov-1985	31-May-2015	100	Auckland, Henderson North	-36.85539	174.62383
5356	I50821	01-Jan-1948	31-May-2015	100	Balmoral,Outram	-45.892	170.225
5849	I69151	01-Oct-1954	31-May-2015	100	Baverstock Waiwera	-46.16096	169.52766
18393	H23824	01-Apr-2000	31-May-2015	100	Cheviot, Montgomery Street	-42.815	173.27
5065	H41153	01-Sep-1964	31-May-2015	100	Coldstream No 3	-44.156	171.542
7406	F02664	01-Feb-1992	31-May-2015	100	Collingwood, Ferntown	-40.662	172.648
5371	I50843	01-Jan-1976	31-May-2015	100	Dunedin, Balaclava	-45.892	170.467
1664	B76972	01-Jun-1990	31-May-2015	100	Edgecumbe	-37.97245	176.8079
3213	E05251	01-Jul-1882	31-May-2015	100	Feilding Sandon Rd	-40.222	175.549
2633	D15161	01-Oct-1936	31-May-2015	100	Gladstone,Bannockburn	-41.10943	175.6364
4809	H32221	01-Dec-1947	31-May-2015	100	Glentui 1	-43.235	172.248
4900	H32667	01-Jun-1989	31-May-2015	100	Governors Bay	-43.62783	172.65043
4420	G14711	01-Aug-1943	31-May-2015	100	Grassmere Salt Works	-41.729	174.145
3189	E05144	01-Jan-1978	31-May-2015	100	Greatford	-40.12763	175.42254
22692	I5094A	01-Dec-1993	31-May-2015	100	Green Island, Kaikorai Estuary	-45.915	170.407
3950	F21422	01-Jun-1947	31-May-2015	100	Greymouth Aero	-42.462	171.191
3037	D96741	01-Sep-1889	31-May-2015	100	Gwavas	-39.776	176.478
2973	D96461	01-Dec-1983	31-May-2015	100	Hastings, Flag Range Rd	-39.475	176.641
5219	I49631	01-Jul-1921	31-May-2015	100	Hawea Flat	-44.642	169.306
4560	H23632	01-Jan-1931	31-May-2015	100	Hawkswood	-42.654	173.329
4701	H31581	01-Jan-1948	31-May-2015	100	Hororata West	-43.53306	171.85676
39314	E95956	01-Jun-2008	31-May-2015	100	Hunterville 2	-39.93682	175.57294
4497	G23363	01-Nov-1980	31-May-2015	100	Kaikoura Plains	-42.383	173.656
16167	G12562	01-Sep-1997	31-May-2015	100	Kaka 2	-41.57	172.655
5519	I58961	01-Nov-1949	31-May-2015	100	Kaweku	-45.943	168.67
2532	D06204	01-Feb-1971	31-May-2015	100	Kiritaki	-40.234	175.996
3992	F21801	01-Feb-1965	31-May-2015	100	Kowhitirangi No 2	-42.885	171.032
4970	H40041	01-May-1925	31-May-2015	100	Lake Tekapo, Air Safaris	-44.002	170.441
4054	F30231	01-Mar-1949	31-May-2015	100	Lower Whataroa	-43.199	170.373
4939	H32871	01-Jan-1917	31-May-2015	100	Magnet Bay	-43.844	172.744
5183	I49222	01-Aug-1924	31-May-2015	100	Makarora Station	-44.251	169.224
25531	E14073	01-Dec-2006	31-May-2015	100	Mana Island Aws	-41.088	174.78
4236	G13203	01-Apr-1922	31-May-2015	100	Mapua	-41.251	173.088
26641	F12472	01-Nov-2006	31-May-2015	100	Matariki	-41.48	172.73
5033	H40771	01-Sep-1964	31-May-2015	100	Melford Hills	-44.759	170.773
5100	H41611	01-Jan-1964	31-May-2015	100	Moanaroa	-44.603	171.095
5436	I57761	01-Jun-1920	31-May-2015	100	Monowai	-45.748	167.616
1904	B87255	01-Aug-1960	31-May-2015	100	Motu, Waiwhero	-38.27556	177.54049
26103	G13104	01-Jun-2005	31-May-2015	100	Motueka Beach	-41.132	173.022
38366	B76626	01-Jul-2010	31-May-2015	100	Mt Maunganui, Bayfair	-37.68759	176.21259
5021	H40481	01-Jan-1964	31-May-2015	100	Mt Nimrod 2	-44.43281	170.87596
4734	H31736	01-Dec-1980	31-May-2015	100	Mt Somers	-43.706	171.401
18394	H31641	01-Apr-2000	31-May-2015	100	Mt Somers, Somer Downs	-43.674	171.413
3103	D96951	01-Feb-1886	31-May-2015	100	Mt Vernon 2	-39.983	176.563
3737	E95952	01-May-1961	31-May-2015	100	Ngahere Iti	-39.9956	175.53653
2107	C75823	01-Jan-1935	31-May-2015	100	Ngahinapouri	-37.88949	175.2322
2255	C85832	01-Jan-1989	31-May-2015	100	Ngapuke 2	-38.84898	175.38172
5846	I69101	01-Jan-1929	31-May-2015	100	Nithdale	-46.19027	169.07212
18560	G14304	01-Sep-1999	31-May-2015	100	Ocean Bay 2	-41.336	174.099
4053	F30212	01-Oct-1981	31-May-2015	100	Okarito	-43.22137	170.16533
3098	D96942	01-Apr-1969	31-May-2015	100	Ongaonga	-39.90906	176.41064
3255	E05442	01-Feb-1945	31-May-2015	100	Opiki	-40.44031	175.46436
5061	H41131	01-Oct-1897	31-May-2015	100	Orari Estate	-44.127	171.308
4771	H31926	01-Jan-1899	31-May-2015	100	Orari Gorge	-43.976	171.196
1625	B76717	01-Aug-1972	31-May-2015	100	Oropi Water Treatment Plant	-37.76974	176.13911
2195	C85124	01-Oct-1950	31-May-2015	100	Otorohanga, Glenbrook	-38.159	175.194
3694	E95831	01-Oct-1950	31-May-2015	100	Oxton	-39.892	175.33
5323	I50471	01-Mar-1969	31-May-2015	100	Palmerston	-45.47554	170.71444
15815	D96872	01-Jul-1997	31-May-2015	100	Patangata, Midway	-39.83605	176.72319
4772	H31927	01-Jan-1971	31-May-2015	100	Peel Forest	-43.90656	171.25902
4851	H32554	01-Sep-1969	31-May-2015	100	Prebbleton Valway	-43.59393	172.52323
36596	H40214	01-Jan-2009	31-May-2015	100	Pukaki Aerodrome Aws	-44.233	170.117
2274	C93292	01-Oct-1954	31-May-2015	100	Pukeiti	-39.20232	173.97952
2027	C74885	01-Apr-1983	31-May-2015	100	Raglan,Karioi	-37.80211	174.86788
1857	B86703	01-Sep-1978	31-May-2015	100	Rainbow Point	-38.72178	176.07196
4525	H22781	01-Apr-1916	31-May-2015	100	Riverside	-42.719	172.885
4270	G13321	01-Jan-1944	31-May-2015	100	Roding River	-41.359	173.261
3011	D96653	01-Jan-1938	31-May-2015	100	Rose Hill	-39.648	176.557
5839	I6901A	01-Jan-1984	31-May-2015	100	Rosebank	-45.99883	169.11876
3187	E05142	01-Jan-1973	31-May-2015	100	Sanson, Ngahere	-40.18901	175.46009
5400	I50942	01-Jun-1954	31-May-2015	100	Southern Reservoir	-45.893	170.452
2250	C85821	01-Sep-1913	31-May-2015	100	Taumarunui	-38.88784	175.25981
7387	E05717	01-Mar-1992	31-May-2015	100	Te Horo, Jonelle	-40.79	175.158
3308	E05811	01-Mar-1969	31-May-2015	100	Te Horo, Longcroft	-40.817	175.148
10709	D0618A	01-Jan-1995	31-May-2015	100	Te Kaihi	-40.055	176.783
31857	D15182	01-Jul-2007	31-May-2015	100	Te Wharau, Brackenfield	-41.17278	175.80063
2631	D15151	01-Apr-1946	31-May-2015	100	The Downs	-41.106	175.56
4390	G14012	01-Jan-1947	31-May-2015	100	Titirangi Bay	-41.021	174.145
3476	E15101	01-Aug-1930	31-May-2015	100	Trentham Racecourse	-41.14	175.041
37645	G12291	01-Sep-2009	31-May-2015	100	Upper Moutere 3	-41.258	172.979
24694	C84931	01-Jan-2003	31-May-2015	100	Urenui, Ngakoti St	-38.9961	174.3914
1496	A65812	01-Mar-1980	31-May-2015	100	Waiheke Island, Awaroa Valley	-36.80698	175.11454
3307	E05802	01-Aug-1969	31-May-2015	100	Waikanae Waterworks	-40.8894	175.072
4796	H32072	01-Mar-1923	31-May-2015	100	Waipara, Wattle Grove	-43.05294	172.75972
2373	D05381	01-Nov-1924	31-May-2015	100	Waipuna Woodville	-40.33078	175.83817
4319	G13552	01-Nov-1917	31-May-2015	100	Wairau Vly,Southwold	-41.547	173.574
14045	E95652	01-Jan-1997	31-May-2015	100	Wakarua	-39.6	175.515
17029	E1510G	01-Jan-1999	31-May-2015	100	Wallaceville Ews	-41.1354	175.05275
1617	B76701	01-Jan-1950	31-May-2015	100	Whakamarama	-37.73206	176.00218
1673	B76995	01-Aug-1990	31-May-2015	100	Whakatane Aero Aws	-37.926	176.919
5768	I68133	01-Aug-1965	31-May-2015	100	Winton 2	-46.157	168.328
11601	H32363	01-Jan-1981	31-May-2015	100	Woodend, Gladstone	-43.323	172.68
2599	D15032	01-Jul-1958	31-May-2015	100	Woodside 2	-41.077	175.378
38057	D06541	01-Apr-2010	31-May-2015	90	Akitio Ews	-40.57728	176.44889
4712	H31651	01-Apr-1911	31-May-2015	90	Alford Forest 1	-43.636	171.527
5866	I69272	01-Jul-1949	31-May-2015	90	Balclutha	-46.238	169.749
5867	I69273	01-Jun-1964	31-May-2015	90	Balclutha,Finegand	-46.273	169.739
3056	D96822	01-Mar-1966	31-May-2015	90	Brentwood	-39.79657	176.22986
4266	G13312	01-Mar-1966	31-May-2015	90	Brightwater 2	-41.3787	173.139
38764	G13306	01-Jan-2010	31-May-2015	90	Brightwater, Teapot Valley 3	-41.37115	173.08003
2125	C75944	01-Jan-1953	31-May-2015	90	Cambridge	-37.9	175.466
9874	D06821	01-Jan-1994	31-May-2015	90	Castlepoint Station	-40.8998	176.2189
16638	H3256D	01-Jun-1998	31-May-2015	90	Christchurch, Kyle St	-43.533	172.607
5440	I57971	01-Jul-1956	31-May-2015	90	Eastern Bush	-45.982	167.758
2791	D87571	01-Feb-1913	31-May-2015	90	Eastwoodhill Stn 2	-38.56257	177.71977
1564	B75561	01-Sep-1917	31-May-2015	90	Elstow	-37.51033	175.65433
4559	H23631	01-Mar-1949	31-May-2015	90	Ferniehurst	-42.6039	173.324
2523	D06142	01-Dec-1958	31-May-2015	90	Flemington	-40.17	176.45
